127.0.0.1 - - [12/Apr/2024:18:31:11 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [12/Apr/2024:18:31:20 +0900] "GET /Main/modal_menu.jsp HTTP/1.1" 200 9003
0:0:0:0:0:0:0:1 - - [12/Apr/2024:18:31:20 +0900] "GET /Main/static/img/spicy_noodle.jpg HTTP/1.1" 200 7369
0:0:0:0:0:0:0:1 - - [12/Apr/2024:18:31:20 +0900] "GET /Main/static/img/logo_info.png HTTP/1.1" 200 4213
0:0:0:0:0:0:0:1 - - [12/Apr/2024:18:31:20 +0900] "GET /Main/static/img/basket.png HTTP/1.1" 200 3099
0:0:0:0:0:0:0:1 - - [12/Apr/2024:18:31:20 +0900] "GET /Main/static/img/home.png HTTP/1.1" 200 3393
0:0:0:0:0:0:0:1 - - [12/Apr/2024:18:31:20 +0900] "GET /Main/static/css/style.css HTTP/1.1" 200 13600
0:0:0:0:0:0:0:1 - - [12/Apr/2024:18:31:20 +0900] "GET /Main/static/img/noodle.jpg HTTP/1.1" 200 6504
0:0:0:0:0:0:0:1 - - [12/Apr/2024:18:31:20 +0900] "GET /Main/static/js/script.jsp HTTP/1.1" 200 4254
0:0:0:0:0:0:0:1 - - [12/Apr/2024:18:31:26 +0900] "GET /Main/owner_panel.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2024:18:31:27 +0900] "GET /Main/OwnerLogin/login.jsp HTTP/1.1" 200 8236
0:0:0:0:0:0:0:1 - - [12/Apr/2024:18:31:27 +0900] "GET /Main/static/js/color-modes.js HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [12/Apr/2024:18:31:27 +0900] "GET /Main/static/css/sign-in.css HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [12/Apr/2024:18:31:27 +0900] "GET /Main/static/css/bootstrap.min.css HTTP/1.1" 200 232808
0:0:0:0:0:0:0:1 - - [12/Apr/2024:18:31:27 +0900] "GET /Main/static/js/bootstrap.bundle.min.js HTTP/1.1" 200 80727
0:0:0:0:0:0:0:1 - - [12/Apr/2024:18:31:37 +0900] "POST /Main/OwnerLogin/login_pro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2024:18:31:37 +0900] "GET /Main/owner_panel.jsp HTTP/1.1" 200 16927
0:0:0:0:0:0:0:1 - - [12/Apr/2024:18:31:37 +0900] "GET /Main/static/css/headers.css HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [12/Apr/2024:18:31:37 +0900] "GET /Main/static/css/grid.css HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [12/Apr/2024:18:31:42 +0900] "GET /Main/owner_panel.jsp HTTP/1.1" 200 16927
0:0:0:0:0:0:0:1 - - [12/Apr/2024:18:31:50 +0900] "POST /Main/addToCartServlet.jsp HTTP/1.1" 500 2974
0:0:0:0:0:0:0:1 - - [12/Apr/2024:18:32:07 +0900] "GET /Main/modal_menu.jsp?tableNum=1 HTTP/1.1" 200 9000
0:0:0:0:0:0:0:1 - - [12/Apr/2024:18:32:07 +0900] "GET /Main/static/css/style.css HTTP/1.1" 304 -
